Year,Month,Site,Var.1,Var.2,Var.3
2019,6,2,164.238386,199.5212501,-7.366589568
2019,6,2,19.72120489,60.1921584,-39.9202653
2019,6,2,-152.9507314,570.2606643,-30.02769279
2019,6,2,-179.9326573,247.4621868,-23.4479842
2019,6,2,28.83192684,-17.93399917,67.40195792
2019,6,2,-25.36250965,248.2824631,-57.5487813
2019,6,2,545.646759,656.0607512,-71.25743247
2019,6,2,-70.0285794,271.3167125,90.82925068
2019,6,3,31.28429874,97.83707259,5.197541878
2019,6,3,34.4011761,372.6364222,-26.35153525
2019,6,3,131.3739741,757.0952601,8.56144046
2019,6,3,67.77178466,305.002759,-52.94639645
2019,6,3,133.738244,-90.96789682,16.14724513
2019,6,3,105.259211,285.9645717,-10.01860721
2019,6,3,235.8420428,352.9058876,53.30722364
2019,6,3,58.70649474,-123.4122252,-10.79653723
2019,7,1,91.17521238,115.3352649,13.42340382
2019,7,1,184.6366381,-151.1680115,6.079831731
2019,7,1,237.4463584,458.8614399,-8.501885529
2019,7,1,179.7120085,116.5418881,28.32275448
2019,7,1,47.71100507,-569.8385448,0.712563468
2019,7,1,12.68515925,-222.9670526,6.587578711
2019,7,1,110.641019,29.50952825,247.0659002
2019,7,1,215.3153717,-716.883598,24.66573017
2019,7,2,268.8088607,-247.7241256,-6.665112513
2019,7,2,162.1624482,64.05622918,-15.35353162
2019,7,2,227.2912328,208.3825428,-1.650922946
2019,7,2,135.9502623,-156.8981049,40.16774615
2019,7,2,-377.5662323,-167.6034175,-9.321899786
2019,7,2,294.5893388,274.2033333,-33.36241998
2019,7,2,115.2304335,-143.9572551,1.785152485
2019,7,2,197.8322793,-194.1052708,4.510012215
2019,7,3,159.8218603,492.9735011,16.98312512
2019,7,3,100.0565715,386.0484133,4.45465466
2019,7,3,154.0407178,356.5369369,0.913060323
2019,7,3,148.4681023,275.5645127,-10.41785567
2019,7,3,66.3257571,78.85432041,13.5214292
2019,7,3,148.6584379,-63.10829454,-4.887781681
2019,7,3,86.33695437,-105.3946354,8.113601428
2019,7,3,185.9244624,386.7852565,30.24025482
2019,8,1,125.5052762,76.33293617,-13.1803428
2019,8,1,157.7633398,-146.8594659,16.08742712
2019,8,1,138.4238151,-78.0524676,9.781823145
2019,8,1,122.0970296,671.9467865,10.5335184
2019,8,1,158.6022953,481.3294419,-33.26409399
2019,8,1,159.9876178,6.996847885,8.590442311
2019,8,1,271.089587,-184.485367,1.346076043
2019,8,1,123.8212237,-50.52250977,-5.779181815
2019,8,2,-39.81111973,394.1804248,22.64126681
2019,8,2,91.46798984,13.98737167,2.959579932
2019,8,2,752.5458834,-100.1754775,-11.93159194
2019,8,2,132.3292838,-97.81427752,14.74406084
2019,8,2,125.122054,-417.3193899,-58.33085248
2019,8,2,128.5599203,-107.9339076,-7.522775652
2019,8,2,364.7980724,-79.26830319,9.652094228
2019,8,2,305.2057135,571.5735826,0.610027599
2019,8,3,92.36442322,144.0566004,19.62620335
2019,8,3,28.92972507,489.5571204,16.21817429
2019,8,3,159.2986027,-28.73848926,-5.535119839
2019,8,3,130.0661623,687.7981282,3.194854247
2019,8,3,125.6544791,19.96408033,10.13948005
2019,8,3,149.5836088,-146.6272518,-26.61300056
2019,8,3,510.4352552,234.2141058,-2.582841554
2019,8,3,708.9485521,57.63961843,4.754943211
